Codigo;Producto;Cantidad; UnitPrice; Neto; Iva; Total;Despacho;Referencia;;
 BT20251132 ; CELLPHONE BATTERY ;322; 732,13 ; 235.745,02   ; 49.506,46   ; 285.251,48   ;251682S;SEBA69;;
 BT20251144 ; CELLPHONE BATTERY ;210; 1.040,39 ; 218.482,23   ; 45.881,27   ; 264.363,50   ;251682S;SEBA69;;
 BT20251143 ; CELLPHONE BATTERY ;210; 1.001,86 ; 210.390,30   ; 44.181,96   ; 254.572,26   ;251682S;SEBA69;;
 BT20251123 ; CELLPHONE BATTERY ;70; 2.449,60 ; 171.471,94   ; 36.009,11   ; 207.481,05   ;251682S;SEBA69;;
 BT20251124 ; CELLPHONE BATTERY ;70; 2.449,60 ; 171.471,94   ; 36.009,11   ; 207.481,05   ;251682S;SEBA69;;
 BT20251129 ; CELLPHONE BATTERY ;140; 1.213,79 ; 169.930,62   ; 35.685,43   ; 205.616,06   ;251682S;SEBA69;;
 BT20251156 ; CELLPHONE BATTERY ;140; 1.213,79 ; 169.930,62   ; 35.685,43   ; 205.616,06   ;251682S;SEBA69;;
 BT20251157 ; CELLPHONE BATTERY ;140; 1.213,79 ; 169.930,62   ; 35.685,43   ; 205.616,06   ;251682S;SEBA69;;
 BT20251147 ; CELLPHONE BATTERY ;140; 1.194,52 ; 167.233,31   ; 35.119,00   ; 202.352,31   ;251682S;SEBA69;;
 BT20251141 ; CELLPHONE BATTERY ;140; 1.175,26 ; 164.536,00   ; 34.552,56   ; 199.088,56   ;251682S;SEBA69;;
 BT20251138 ; CELLPHONE BATTERY ;140; 1.136,72 ; 159.141,38   ; 33.419,69   ; 192.561,07   ;251682S;SEBA69;;
 BT20251148 ; CELLPHONE BATTERY ;140; 1.098,19 ; 153.746,76   ; 32.286,82   ; 186.033,57   ;251682S;SEBA69;;
 BT20251119 ; CELLPHONE BATTERY ;70; 2.177,12 ; 152.398,10   ; 32.003,60   ; 184.401,70   ;251682S;SEBA69;;
 BT20251146 ; CELLPHONE BATTERY ;140; 1.078,92 ; 151.049,44   ; 31.720,38   ; 182.769,83   ;251682S;SEBA69;;
 BT20251149 ; CELLPHONE BATTERY ;140; 1.078,92 ; 151.049,44   ; 31.720,38   ; 182.769,83   ;251682S;SEBA69;;
 BT20251107 ; CELLPHONE BATTERY ;70; 2.138,58 ; 149.700,79   ; 31.437,17   ; 181.137,95   ;251682S;SEBA69;;
 BT20251109 ; CELLPHONE BATTERY ;70; 2.003,72 ; 140.260,20   ; 29.454,64   ; 169.714,84   ;251682S;SEBA69;;
